,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
352,6,1,4,2,1,2,70,28.44
353,19,1,4,2,1,2,40,24.57
354,17,2,2,1,0,1,30,0.0
355,17,2,2,1,0,1,25,0.0
356,17,2,2,1,0,1,15,1.58
357,19,1,4,3,0,5,12,2.57
358,19,1,4,3,0,5,12,2.57
359,19,1,4,3,0,5,4,1.09
360,19,1,4,3,0,5,25,2.21
361,19,1,4,3,0,5,10,2.57
362,6,2,4,3,1,5,70,20.06
363,19,1,2,1,0,1,25,0.75
364,19,1,2,1,0,1,5,4.04
365,19,1,2,1,0,1,15,0.92
366,19,1,2,1,0,1,5,0.92
367,19,1,2,1,0,1,8,1.93
368,19,1,2,1,0,1,10,5.29
369,19,1,4,3,0,3,40,16.03
370,19,1,4,3,0,3,45,9.98
371,19,1,4,3,0,3,30,7.35
372,19,1,4,3,0,3,88,60.28
373,19,1,4,3,0,3,105,60.28
374,19,1,3,2,0,2,20,3.64
375,19,1,3,2,0,2,20,3.64
376,19,1,3,2,0,2,30,0.0
377,19,1,3,2,0,2,20,0.0
378,19,1,3,2,0,4,6,3.47
379,19,1,3,2,0,4,5,2.31
380,19,2,3,2,0,4,6,1.49
381,19,2,3,2,0,4,8,1.93
382,19,1,3,2,0,4,8,3.45
383,19,1,3,2,0,4,12,3.47
384,19,1,3,2,0,4,10,0.92
385,19,2,3,2,0,4,13,3.45
386,19,2,3,2,0,3,39,13.43
387,19,1,3,2,0,3,8,3.76
388,19,1,3,2,0,3,28,8.46
389,19,1,3,2,0,3,27,9.37
390,19,1,3,2,0,3,35,2.74
391,19,1,3,2,0,3,10,1.74
392,19,2,3,2,0,3,20,13.9
393,19,1,1,1,0,1,10,2.84
394,19,1,1,1,0,1,15,2.27
395,19,1,1,1,0,1,5,0.42
396,19,1,1,1,0,1,10,0.82
397,19,1,1,1,0,1,10,1.95
398,19,1,4,2,0,4,39,17.73
399,19,1,4,2,0,4,38,17.7
400,19,1,4,2,0,4,15,3.49
401,19,1,4,2,0,4,15,3.49
402,19,1,4,2,0,5,5,4.12
403,19,1,4,2,0,5,5,4.12
404,19,1,4,3,0,3,3,0.0
405,19,1,4,3,0,3,12,0.0
406,19,1,4,3,0,3,11,8.77
407,19,1,4,3,0,3,17,3.63
408,19,1,4,3,0,3,18,3.63
409,19,1,3,1,0,1,21,15.1
410,19,1,3,1,0,1,14,2.97
411,19,1,3,1,0,1,26,17.48
412,19,1,3,1,0,1,25,15.1
413,19,1,3,1,0,1,23,15.18
414,19,1,2,1,0,1,2,0.76
415,19,1,2,1,0,1,20,5.88
416,19,1,2,1,0,1,26,10.52
417,19,1,2,1,0,1,45,15.0
418,6,1,4,3,1,2,90,45.08
419,19,1,4,3,0,2,5,1.51
420,19,1,4,3,0,2,30,7.1
421,19,1,4,3,0,2,30,7.1
422,19,1,4,2,1,2,105,48.71
423,19,1,4,2,0,4,52,21.43
424,19,1,4,2,0,4,32,20.66
425,23,1,4,2,0,4,7,2.86
426,23,1,4,2,0,4,7,2.62
427,19,1,4,2,0,4,15,6.82
428,19,1,4,2,0,4,12,6.82
429,6,1,4,3,1,4,155,44.4
430,19,1,4,3,0,4,15,6.0
431,19,1,4,3,0,4,20,5.98
432,19,1,4,3,0,4,15,4.03
433,19,1,4,3,0,4,20,4.03
434,19,1,4,3,0,3,15,2.1
435,19,1,4,3,0,3,15,2.1
436,19,1,4,3,0,4,25,11.82
437,19,1,4,3,0,4,34,8.69
438,19,1,4,3,0,4,11,1.9
439,19,1,4,3,0,4,57,11.92
440,19,1,4,3,0,4,15,3.18
441,19,1,4,3,0,4,7,0.41
442,19,1,4,3,0,4,4,0.41
443,19,1,4,3,0,4,5,1.41
444,19,1,4,3,0,4,12,0.64
445,19,1,4,3,0,4,28,9.61
446,19,1,4,3,0,4,28,13.85
447,19,1,9,3,0,3,40,21.53
448,19,1,9,3,0,3,35,21.54
449,19,1,9,3,0,3,25,11.22
450,19,1,9,3,0,3,20,11.22
451,19,1,2,3,0,3,10,4.74
452,19,1,2,3,0,3,10,4.74
453,19,1,4,2,0,4,40,14.35
454,19,1,4,2,0,4,30,14.16
455,19,1,3,2,0,4,14,10.79
456,23,1,3,2,0,4,6,0.77
457,23,1,3,2,0,4,6,0.77
458,19,1,3,2,0,4,27,11.05
459,19,1,9,3,0,3,30,10.29
460,19,1,9,3,0,3,30,10.16
461,19,1,4,3,0,3,30,22.49
462,19,1,4,3,0,3,30,22.54
463,19,1,4,1,0,2,30,5.0
464,19,1,4,1,0,2,10,1.63
465,19,1,4,1,0,2,20,1.9
466,19,1,4,1,0,2,30,6.52
467,19,1,4,1,0,2,15,2.05
468,19,1,4,2,0,2,60,24.82
469,19,1,4,2,0,2,80,24.85
470,19,1,4,2,0,3,1,1.23
471,19,1,4,2,0,3,5,7.25
472,19,1,4,2,0,3,5,7.25
473,19,1,4,2,0,3,1,1.23
474,19,1,4,2,0,3,1,1.23
475,19,1,4,2,0,3,5,1.23
476,19,1,4,2,0,3,4,1.23
477,15,1,1,1,0,3,38,6.46
478,15,1,1,1,0,3,50,6.54
479,19,1,1,1,0,3,30,10.55
480,19,1,1,1,0,3,28,10.77
481,19,1,9,3,0,3,5,4.36
482,19,1,9,3,0,3,5,4.25
