,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
79887,79887,35274460204,3527446,2,4,0,2,1,3,0,1.0,1,45,12.82,11780,0,2,1,19,11,,1,1,1,2,3,3,1,4,5.0,6.0,9,3
79936,79936,35276420102,3527642,1,2,1,4,0,5,0,2.1,3,10,3.75,11722,0,2,1,19,11,,1,1,1,2,1,1,3,2,,,2,2
79937,79937,35276420103,3527642,1,3,0,4,0,9,10,1.0,1,9,4.37,11717,0,2,1,19,11,,1,1,1,1,1,1,1,1,,,2,2
79938,79938,35276420104,3527642,1,4,0,4,0,17,0,1.0,1,7,0.47,11722,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,2,2
79939,79939,35276420105,3527642,1,5,0,4,1,3,0,1.0,1,6,2.31,11722,0,2,1,19,11,,1,1,1,2,2,2,1,1,1.0,2.0,2,2
79946,79946,35276420202,3527642,2,2,1,4,0,9,10,1.0,1,7,2.45,11722,0,2,1,19,11,,1,1,1,1,1,1,1,1,2.0,3.0,2,2
79947,79947,35276420203,3527642,2,3,0,4,0,9,10,1.0,1,9,0.97,11722,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,1.0,2,2
79948,79948,35276420204,3527642,2,4,0,4,0,9,0,1.0,1,44,0.97,11722,0,2,1,19,11,,1,1,1,1,2,2,1,3,1.0,1.0,2,2
79949,79949,35276420205,3527642,2,5,0,4,1,3,0,1.0,1,13,2.88,11722,0,2,1,19,11,,1,1,1,1,3,3,1,2,2.0,3.0,2,2
79996,79996,35278590202,3527859,2,2,1,4,0,9,0,1.0,1,15,5.64,11776,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,3,2
79997,79997,35278590203,3527859,2,3,0,4,0,17,0,2.1,2,4,0.9,11720,0,2,1,19,11,,1,1,1,1,3,3,2,1,2.0,3.0,3,2
79998,79998,35278590204,3527859,2,4,0,4,1,3,0,2.1,2,16,5.66,11720,0,2,1,19,11,,1,1,1,2,3,3,2,2,3.0,4.0,3,2
79999,79999,35278590302,3527859,3,2,1,4,0,9,0,3.0,1,65,5.64,11776,0,2,1,15,9,,3,2,2,1,2,2,1,4,4.0,5.0,3,2
80000,80000,35278590305,3527859,3,5,0,4,0,17,0,2.2,2,4,0.9,11720,0,2,1,17,10,,1,1,1,1,3,3,2,1,2.0,3.0,3,2
80001,80001,35278590306,3527859,3,6,0,4,1,3,0,2.2,2,16,5.66,11720,0,2,1,17,10,,1,1,1,2,3,3,2,2,3.0,4.0,3,2
80056,80056,35279870202,3527987,2,2,1,2,0,9,0,7.1,1,120,41.61,11740,1,2,1,6,3,2.0,2,2,2,1,1,1,1,5,6.0,6.0,4,3
80295,80295,35288200102,3528820,1,2,1,5,0,17,0,1.0,1,5,2.63,11778,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,2.0,4,3
80296,80296,35288200103,3528820,1,3,0,5,0,9,10,1.0,1,20,8.22,11764,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,3
80297,80297,35288200104,3528820,1,4,0,5,1,3,0,1.0,1,20,6.97,11777,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,3
80298,80298,35288200202,3528820,2,2,1,5,0,9,10,1.0,1,30,42.96,11778,0,2,1,19,11,,1,1,1,1,5,4,1,3,6.0,6.0,4,3
80299,80299,35288200203,3528820,2,3,0,5,1,3,0,1.0,1,50,42.89,11968,0,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,4,3
80302,80302,35288200304,3528820,3,4,1,5,0,9,10,2.1,2,20,6.97,11778,0,2,1,19,11,,1,1,1,1,2,2,2,3,4.0,5.0,4,3
