,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,TOUR_PURP,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP1,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
134068,134068,40176610102,4017661,1,2,1,2,0,1,3,97,0,13,0,7.1,1.1,1,180,44.24,81.96,11706,10016,11706,1,3,2,1,6,3,2.0,2,2,2,1,2,1,1,1,5,6.0,6.0,4,2
134069,134069,40176610105,4017661,1,5,0,2,0,1,97,9,13,1,0,7.1,1.1,1,90,20.97,51.83,10016,11530,11706,0,3,1,1,6,3,4.0,2,2,2,1,1,2,2,1,5,5.0,6.0,4,2
134070,134070,40176610108,4017661,1,8,0,2,1,1,9,3,1,0,0,1.0,9.0,1,45,24.73,43.26,11530,11706,11706,0,3,2,1,19,11,,1,1,1,1,1,4,4,1,4,6.0,6.0,4,2
134071,134071,40176610202,4017661,2,2,1,2,0,1,3,9,0,1,10,1.0,9.0,1,35,19.99,35.04,11706,11590,11706,0,3,2,1,19,11,,1,1,1,1,1,3,3,1,3,5.0,6.0,4,2
134077,134077,40177240102,4017724,1,2,1,1,0,1,3,9,0,1,0,1.0,9.0,1,84,49.41,80.98,11751,10021,11751,1,3,2,1,19,11,,1,1,1,1,1,5,4,1,4,6.0,6.0,2,1
134078,134078,40177240103,4017724,1,3,0,1,1,1,9,3,1,0,0,1.0,9.0,1,81,46.27,82.41,10021,11751,11751,0,3,1,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,2,1
134139,134139,40179250102,4017925,1,2,1,3,0,1,3,5,0,4,0,2.1,9.0,2,8,0.99,2.58,11793,11793,11793,0,3,2,1,19,11,,1,1,1,1,2,1,1,2,1,2.0,3.0,4,2
134140,134140,40179250103,4017925,1,3,0,3,0,1,5,9,4,1,0,1.0,9.0,1,84,69.37,94.27,11793,11932,11793,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,4,2
134141,134141,40179250104,4017925,1,4,0,3,1,1,9,3,1,0,0,1.0,9.0,1,80,68.98,95.66,11932,11793,11793,0,3,2,1,19,11,,1,1,1,1,1,3,3,1,4,6.0,6.0,4,2
134142,134142,40179250202,4017925,2,2,1,3,0,1,3,5,0,4,0,2.2,9.0,2,8,0.99,2.58,11793,11793,11793,0,3,2,1,17,10,,1,1,1,1,2,1,1,2,1,2.0,3.0,4,2
134143,134143,40179250203,4017925,2,3,0,3,0,1,5,9,4,1,0,7.0,1.0,1,74,0.0,0.0,11793,10019,11793,1,3,2,1,6,3,,2,2,2,1,1,1,1,1,4,6.0,6.0,4,2
134144,134144,40179250205,4017925,2,5,0,3,0,1,9,24,1,9,0,8.1,11.0,2,5,0.0,0.0,10019,10023,11793,1,3,1,1,23,13,,5,3,97,1,1,2,2,2,1,1.0,2.0,4,2
134145,134145,40179250206,4017925,2,6,0,3,0,1,24,9,9,1,0,8.1,11.0,2,5,0.0,0.0,10023,10019,11793,1,3,1,1,23,13,,5,3,97,1,1,2,2,2,1,1.0,2.0,4,2
134146,134146,40179250207,4017925,2,7,0,3,1,1,9,3,1,0,0,10.0,1.0,1,100,0.0,0.0,10019,11793,11793,0,3,1,1,5,2,,4,1,1,1,1,3,3,1,5,6.0,6.0,4,2
134248,134248,40186130102,4018613,1,2,1,3,0,1,3,9,0,1,0,1.0,9.0,1,32,10.69,24.64,11554,11572,11554,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,2
134249,134249,40186130103,4018613,1,3,0,3,1,1,9,3,1,0,0,1.0,9.0,1,30,10.35,25.12,11572,11554,11554,0,3,2,1,19,11,,1,1,1,1,1,2,2,1,3,4.0,5.0,2,2
134250,134250,40186130104,4018613,1,4,1,3,0,7,3,21,0,7,27,1.0,9.0,1,30,13.38,20.9,11554,11729,11554,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,3,5.0,6.0,2,2
134251,134251,40186130105,4018613,1,5,0,3,0,7,21,21,7,7,0,1.0,9.0,1,10,0.61,0.0,11729,11729,11554,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,2,1.0,1.0,2,2
134252,134252,40186130106,4018613,1,6,0,3,1,7,21,3,7,0,0,1.0,9.0,1,42,12.88,21.1,11729,11554,11554,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,3,5.0,6.0,2,2
134305,134305,40187840102,4018784,1,2,1,2,0,1,3,9,0,1,0,2.1,9.0,2,20,5.72,15.39,11554,11550,11756,0,3,2,1,19,11,,1,1,1,1,1,1,1,2,3,4.0,5.0,4,2
134306,134306,40187840103,4018784,1,3,0,2,0,1,9,21,1,7,0,2.1,9.0,2,9,2.53,8.59,11550,11530,11756,0,3,2,1,19,11,,1,1,1,1,1,2,2,2,1,2.0,3.0,4,2
134307,134307,40187840104,4018784,1,4,0,2,0,1,21,9,7,1,0,2.1,9.0,2,15,2.53,8.32,11530,11550,11756,0,3,2,1,19,11,,1,1,1,1,1,2,2,2,2,2.0,3.0,4,2
134308,134308,40187840105,4018784,1,5,0,2,0,1,9,14,1,1,0,2.1,9.0,2,30,6.2,18.13,11550,11801,11756,0,3,2,1,19,11,,1,1,1,1,1,3,3,2,3,4.0,5.0,4,2
134309,134309,40187840106,4018784,1,6,0,2,0,1,14,9,1,1,0,2.1,9.0,2,20,6.46,18.25,11801,11550,11756,0,3,2,1,19,11,,1,1,1,1,1,3,3,2,3,4.0,5.0,4,2
134310,134310,40187840107,4018784,1,7,0,2,0,1,9,21,1,7,0,2.1,9.0,2,19,4.72,13.23,11550,11010,11756,0,3,2,1,19,11,,1,1,1,1,1,3,3,2,2,3.0,4.0,4,2
