,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
447,19,1,4,3,0,4,28,9.61
448,19,1,4,3,0,4,28,13.85
449,19,1,9,3,0,3,40,21.53
450,19,1,9,3,0,3,35,21.54
451,19,1,9,3,0,3,25,11.22
452,19,1,9,3,0,3,20,11.22
453,19,1,2,3,0,3,10,4.74
454,19,1,2,3,0,3,10,4.74
455,19,1,4,2,0,4,40,14.35
456,19,1,4,2,0,4,30,14.16
457,19,1,3,2,0,4,14,10.79
458,23,1,3,2,0,4,6,0.77
459,23,1,3,2,0,4,6,0.77
460,19,1,3,2,0,4,27,11.05
461,19,1,9,3,0,3,30,10.29
462,19,1,9,3,0,3,30,10.16
463,19,1,4,3,0,3,30,22.49
464,19,1,4,3,0,3,30,22.54
465,19,1,4,1,0,2,30,5.0
466,19,1,4,1,0,2,10,1.63
467,19,1,4,1,0,2,20,1.9
468,19,1,4,1,0,2,30,6.52
469,19,1,4,1,0,2,15,2.05
470,19,1,4,2,0,2,60,24.82
471,19,1,4,2,0,2,80,24.85
472,19,1,4,2,0,3,1,1.23
473,19,1,4,2,0,3,5,7.25
474,19,1,4,2,0,3,5,7.25
475,19,1,4,2,0,3,1,1.23
476,19,1,4,2,0,3,1,1.23
477,19,1,4,2,0,3,5,1.23
478,19,1,4,2,0,3,4,1.23
479,15,1,1,1,0,3,38,6.46
480,15,1,1,1,0,3,50,6.54
481,19,1,1,1,0,3,30,10.55
482,19,1,1,1,0,3,28,10.77
483,19,1,9,3,0,3,5,4.36
484,19,1,9,3,0,3,5,4.25
485,19,1,4,3,0,2,15,4.32
486,19,1,4,3,0,2,15,4.32
487,19,2,4,2,0,3,17,13.72
488,19,2,4,2,0,3,6,3.07
489,19,2,4,2,0,3,14,11.72
490,19,1,4,2,0,3,31,20.7
491,19,1,4,2,0,3,38,20.44
492,6,1,4,2,1,2,106,0.0
493,19,1,4,2,0,2,30,9.83
494,19,1,4,2,0,2,30,10.22
495,19,2,4,2,0,2,15,5.92
496,19,2,4,2,0,2,15,5.95
497,17,2,4,2,0,2,15,5.92
498,17,2,4,2,0,2,15,5.95
499,6,1,4,1,1,1,95,28.39
500,19,1,4,1,0,1,60,35.08
501,19,1,4,1,0,1,60,35.37
502,19,1,3,2,0,3,20,7.58
503,19,1,3,2,0,3,25,7.62
504,19,1,4,2,0,4,30,19.99
505,19,1,4,2,0,4,30,20.73
506,19,2,4,2,0,2,8,3.16
507,19,1,4,2,0,2,36,29.97
508,19,1,4,2,0,2,21,8.4
509,19,1,4,2,0,2,9,3.62
510,19,1,4,2,0,2,46,15.69
511,6,2,4,2,1,2,94,28.34
512,17,2,4,2,0,2,5,1.75
513,19,2,4,2,0,2,6,1.75
514,19,1,4,2,0,2,17,3.98
515,19,1,4,2,0,2,16,6.81
516,19,1,2,1,0,1,5,4.12
517,19,1,2,1,0,1,22,14.16
518,19,1,2,1,0,1,38,18.02
519,19,1,2,1,0,1,3,0.47
520,19,1,2,1,0,1,5,0.85
521,6,1,4,2,1,4,129,61.15
522,19,1,2,1,0,1,21,10.0
523,19,1,2,1,0,1,34,10.0
524,19,1,4,3,0,4,12,2.31
525,19,1,4,3,0,4,17,2.31
526,19,1,4,1,0,1,25,17.56
527,19,1,4,1,0,1,15,0.0
528,19,1,4,1,0,1,20,0.0
529,19,1,4,1,0,1,10,1.28
530,19,1,4,1,0,1,20,17.95
531,6,1,4,2,1,2,122,58.06
532,19,1,4,3,0,3,22,16.11
533,19,1,4,3,0,3,30,14.79
534,19,1,4,3,0,3,64,29.16
535,19,1,9,2,0,4,20,12.87
536,19,1,9,2,0,4,17,13.52
537,19,1,9,2,0,4,21,5.82
538,19,2,9,2,0,4,3,2.23
539,19,1,9,2,0,4,3,2.23
540,19,1,9,2,0,4,20,5.88
541,6,1,4,3,1,4,104,59.04
542,19,1,4,3,0,4,2,4.79
543,17,2,4,3,0,4,12,1.67
544,17,2,4,3,0,4,8,3.41
545,17,2,4,3,0,4,4,3.47
546,6,1,4,2,1,3,94,28.4
547,19,1,4,3,0,3,175,0.0
548,19,1,4,2,0,2,26,14.31
549,19,1,4,2,0,2,19,14.84
550,19,1,4,2,0,2,6,2.77
551,19,1,4,2,0,2,42,27.8
552,23,1,4,2,0,2,56,1.05
553,19,1,4,2,0,2,52,28.34
554,19,1,9,2,0,2,15,4.22
555,19,1,9,2,0,2,80,5.3
556,19,1,2,2,0,2,30,5.43
557,19,1,2,2,0,2,30,5.43
558,19,1,4,2,0,2,45,25.21
559,19,1,4,2,0,2,40,25.54
560,19,1,4,2,0,2,44,28.4
561,19,1,4,2,0,2,34,28.35
562,6,1,4,3,1,3,230,0.0
563,19,1,4,3,0,3,150,38.82
564,6,1,4,3,1,3,90,24.85
565,6,2,4,2,1,2,108,53.67
566,6,2,4,2,1,2,100,53.05
567,19,1,2,1,1,1,45,13.15
568,6,1,4,3,1,4,85,0.0
569,19,1,1,1,0,2,19,2.33
570,19,1,1,1,0,2,5,1.5
571,19,1,1,1,0,2,20,1.5
572,19,1,1,1,0,2,15,0.55
573,19,1,1,1,0,2,10,1.5
574,19,2,1,1,0,2,25,0.95
575,6,1,2,1,1,2,126,0.0
576,19,1,4,2,0,2,16,1.3
