,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
69459,69459,34851000102,3485100,1,2,1,1,0,3,14,0,1,0,1.0,9.0,1,30,10.81,25.8,11021,11530,11021,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,2
69460,69460,34851000103,3485100,1,3,0,1,0,14,9,1,1,0,1.0,9.0,1,45,10.9,24.93,11530,11021,11021,0,2,1,19,11,,1,1,1,1,1,2,2,1,4,4.0,5.0,2,2
69461,69461,34851000104,3485100,1,4,0,1,0,9,9,1,1,0,1.0,9.0,1,15,2.09,7.69,11021,11030,11021,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,2,2
69462,69462,34851000105,3485100,1,5,0,1,1,9,3,1,0,0,1.0,9.0,1,15,2.07,7.26,11030,11021,11021,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,1.0,2.0,2,2
69463,69463,34851240102,3485124,1,2,1,2,0,3,9,0,1,0,1.0,9.0,1,50,11.92,21.77,11758,11530,11758,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,4.0,5.0,4,2
69464,69464,34851240103,3485124,1,3,0,2,1,9,3,1,0,0,1.0,9.0,1,45,11.67,22.32,11530,11758,11758,0,2,1,19,11,,1,1,1,1,1,3,3,1,4,4.0,5.0,4,2
69465,69465,34851240202,3485124,2,2,1,2,0,3,9,0,1,0,1.0,9.0,1,15,2.54,5.99,11758,11758,11758,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,2.0,3.0,4,2
69466,69466,34851240203,3485124,2,3,0,2,1,9,3,1,0,0,1.0,9.0,1,15,2.59,6.08,11758,11758,11758,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,2
69469,69469,34851330104,3485133,1,4,1,3,0,3,9,0,1,0,1.0,9.0,1,20,2.6,8.85,11030,11021,11030,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,2.0,3.0,4,2
69470,69470,34851330105,3485133,1,5,0,3,1,9,3,1,0,0,1.0,9.0,1,11,2.56,9.02,11021,11030,11030,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,2.0,3.0,4,2
69481,69481,34852340102,3485234,1,2,1,2,0,3,14,0,1,0,1.0,9.0,1,10,4.39,12.54,11552,11575,11552,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,2
69482,69482,34852340103,3485234,1,3,0,2,0,14,14,1,1,0,1.0,9.0,1,14,4.11,10.46,11575,11554,11552,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,2
69483,69483,34852340104,3485234,1,4,0,2,0,14,14,1,1,0,1.0,9.0,1,15,5.7,16.79,11554,11568,11552,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,4.0,5.0,4,2
69484,69484,34852340105,3485234,1,5,0,2,0,14,22,1,6,0,1.0,9.0,1,25,12.21,28.7,11568,11563,11552,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,4.0,5.0,4,2
69485,69485,34852340106,3485234,1,6,0,2,0,22,16,6,5,0,1.0,9.0,1,2,0.89,3.42,11563,11565,11552,0,2,1,19,11,,1,1,1,1,2,2,2,1,1,1.0,2.0,4,2
69486,69486,34852340107,3485234,1,7,0,2,0,16,14,5,1,19,1.0,9.0,1,8,2.34,6.68,11565,11552,11552,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,2.0,3.0,4,2
69487,69487,34852340108,3485234,1,8,0,2,1,14,3,1,0,0,1.0,9.0,1,3,1.08,2.88,11552,11552,11552,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,1.0,1.0,4,2
69488,69488,34852340202,3485234,2,2,1,2,0,3,9,0,1,0,1.0,9.0,1,12,4.46,13.06,11552,11530,11552,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,2
