,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3653,3653,98264,98264,36769690207,3676969,2,7,3,15,12.0,0,19,1,4,3
3654,3654,98265,98265,36769690208,3676969,2,8,3,45,22.58,0,19,1,4,3
3655,3655,98266,98266,36769690209,3676969,2,9,3,30,15.98,0,19,1,4,3
3656,3656,98267,98267,36769690210,3676969,2,10,3,20,6.44,0,19,1,4,3
3657,3657,98268,98268,36769690211,3676969,2,11,3,45,47.45,0,19,1,4,3
3658,3658,98271,98271,36769750102,3676975,1,2,1,20,9.36,0,19,1,4,2
3659,3659,98272,98272,36769750103,3676975,1,3,1,20,8.72,0,19,1,4,2
3660,3660,98286,98286,36770920202,3677092,2,2,3,110,41.3,1,6,1,4,1
3661,3661,98288,98288,36770920214,3677092,2,14,3,20,0.75,0,23,1,4,1
3662,3662,98321,98321,36775180102,3677518,1,2,2,2,2.01,0,19,1,2,2
3663,3663,98322,98322,36775180103,3677518,1,3,2,45,22.53,0,19,1,2,2
3664,3664,98323,98323,36775180104,3677518,1,4,2,42,19.2,0,19,1,2,2
3665,3665,98338,98338,36776100102,3677610,1,2,3,27,14.69,0,19,1,2,2
3666,3666,98339,98339,36776100103,3677610,1,3,3,29,12.1,0,19,1,2,2
3667,3667,98340,98340,36776100202,3677610,2,2,3,5,1.56,0,19,1,2,2
3668,3668,98341,98341,36776100203,3677610,2,3,3,8,1.56,0,19,1,2,2
3669,3669,98347,98347,36777570102,3677757,1,2,1,21,10.65,0,19,1,1,1
3670,3670,98348,98348,36777570103,3677757,1,3,1,40,10.6,0,19,1,1,1
3671,3671,98349,98349,36777680102,3677768,1,2,5,19,6.7,0,19,2,4,3
3672,3672,98350,98350,36777680103,3677768,1,3,5,19,7.52,0,19,1,4,3
3673,3673,98351,98351,36777680104,3677768,1,4,5,3,0.75,0,19,1,4,3
3674,3674,98352,98352,36777680105,3677768,1,5,5,16,8.15,0,19,1,4,3
3675,3675,98353,98353,36777680106,3677768,1,6,5,28,8.8,0,19,2,4,3
3676,3676,98354,98354,36777680302,3677768,3,2,5,19,6.7,0,17,2,4,3
3677,3677,98355,98355,36777680303,3677768,3,3,5,28,8.8,0,17,2,4,3
3678,3678,98413,98413,36781220302,3678122,3,2,3,10,4.08,0,19,1,3,3
3679,3679,98414,98414,36781220303,3678122,3,3,3,10,3.52,0,19,1,3,3
3680,3680,98460,98460,36783140102,3678314,1,2,2,20,19.22,0,19,1,4,2
3681,3681,98461,98461,36783140103,3678314,1,3,2,30,18.99,0,19,1,4,2
3682,3682,98492,98492,36784080202,3678408,2,2,4,20,8.85,0,19,1,4,3
3683,3683,98493,98493,36784080204,3678408,2,4,4,5,0.95,0,19,1,4,3
3684,3684,98494,98494,36784080205,3678408,2,5,4,2,0.95,0,19,1,4,3
3685,3685,98495,98495,36784080206,3678408,2,6,4,20,9.11,0,19,1,4,3
3686,3686,98565,98565,36786290204,3678629,2,4,2,31,18.48,1,19,1,3,2
3687,3687,98611,98611,36790890102,3679089,1,2,2,90,31.77,1,6,1,2,2
3688,3688,98613,98613,36790890202,3679089,2,2,2,80,31.77,1,6,1,2,2
3689,3689,98617,98617,36791540102,3679154,1,2,2,30,6.91,0,19,1,2,2
3690,3690,98618,98618,36791540103,3679154,1,3,2,30,6.84,0,19,1,2,2
3691,3691,98710,98710,36799440102,3679944,1,2,4,10,1.38,0,19,1,4,3
3692,3692,98711,98711,36799440103,3679944,1,3,4,35,1.33,0,19,1,4,3
3693,3693,98714,98714,36799440202,3679944,2,2,4,100,0.0,1,6,1,4,3
3694,3694,98716,98716,36799440210,3679944,2,10,4,20,12.98,0,19,1,4,3
3695,3695,98723,98723,36799690602,3679969,6,2,6,105,33.52,1,6,1,4,2
3696,3696,98741,98741,36801240102,3680124,1,2,3,45,34.38,1,19,1,3,2
3697,3697,98743,98743,36801240104,3680124,1,4,3,10,0.51,0,19,1,3,2
3698,3698,98820,98820,36805250202,3680525,2,2,2,30,10.87,0,19,1,4,2
3699,3699,98821,98821,36805250203,3680525,2,3,2,30,4.38,0,19,3,4,2
3700,3700,98822,98822,36805250204,3680525,2,4,2,20,4.42,0,19,3,4,2
3701,3701,98823,98823,36805250205,3680525,2,5,2,25,10.63,0,19,1,4,2
3702,3702,98824,98824,36805250206,3680525,2,6,2,5,0.52,0,19,1,4,2
3703,3703,98868,98868,36808580102,3680858,1,2,2,8,1.5,0,19,1,2,3
3704,3704,98869,98869,36808580103,3680858,1,3,2,20,1.5,0,19,1,2,3
3705,3705,98870,98870,36808580202,3680858,2,2,2,45,28.54,0,19,1,2,3
3706,3706,98872,98872,36808580204,3680858,2,4,2,45,23.43,0,19,1,2,3
3707,3707,98873,98873,36808580205,3680858,2,5,2,45,23.49,0,19,1,2,3
3708,3708,99016,99016,36812260202,3681226,2,2,2,10,1.64,0,19,1,4,2
3709,3709,99017,99017,36812260203,3681226,2,3,2,10,0.44,0,19,1,4,2
3710,3710,99018,99018,36812260204,3681226,2,4,2,5,1.64,0,19,1,4,2
3711,3711,99105,99105,36813610102,3681361,1,2,4,70,33.44,1,6,1,3,2
3712,3712,99107,99107,36813610108,3681361,1,8,4,25,2.47,0,19,1,3,2
3713,3713,99135,99135,36816280102,3681628,1,2,2,10,1.86,0,19,1,4,2
3714,3714,99136,99136,36816280103,3681628,1,3,2,10,1.86,0,19,1,4,2
3715,3715,99137,99137,36816280104,3681628,1,4,2,10,1.86,0,19,1,4,2
3716,3716,99138,99138,36816280105,3681628,1,5,2,10,1.86,0,19,1,4,2
3717,3717,99339,99339,36825540102,3682554,1,2,3,71,31.62,1,6,1,3,2
3718,3718,99458,99458,36828990102,3682899,1,2,2,4,1.2,0,19,1,2,3
3719,3719,99459,99459,36828990103,3682899,1,3,2,3,1.2,0,19,1,2,3
3720,3720,99460,99460,36828990104,3682899,1,4,2,3,1.2,0,19,1,2,3
3721,3721,99461,99461,36828990105,3682899,1,5,2,3,1.2,0,19,1,2,3
3722,3722,99462,99462,36828990106,3682899,1,6,2,3,1.2,0,19,1,2,3
3723,3723,99463,99463,36828990107,3682899,1,7,2,3,1.2,0,19,1,2,3
3724,3724,99466,99466,36828990204,3682899,2,4,2,7,1.2,0,19,1,2,3
3725,3725,99467,99467,36828990205,3682899,2,5,2,5,1.2,0,19,1,2,3
3726,3726,99468,99468,36828990206,3682899,2,6,2,5,1.2,0,19,1,2,3
3727,3727,99469,99469,36828990207,3682899,2,7,2,5,1.2,0,19,1,2,3
3728,3728,99490,99490,36831290102,3683129,1,2,4,5,0.77,0,19,1,2,2
3729,3729,99491,99491,36831290103,3683129,1,3,4,25,26.06,1,19,1,2,2
3730,3730,99883,99883,36855930102,3685593,1,2,7,110,7.88,1,15,1,4,1
3731,3731,99895,99895,36855930302,3685593,3,2,7,50,11.44,0,15,2,4,1
3732,3732,99896,99896,36855930305,3685593,3,5,7,130,11.22,0,15,1,4,1
3733,3733,100343,100343,36869950102,3686995,1,2,1,18,0.0,0,19,1,2,1
3734,3734,100344,100344,36869950103,3686995,1,3,1,24,0.0,0,19,1,2,1
3735,3735,101039,101039,36957330202,3695733,2,2,4,10,1.84,0,19,1,1,1
3736,3736,101040,101040,36957330203,3695733,2,3,4,10,1.84,0,19,1,1,1
3737,3737,101062,101062,36959390102,3695939,1,2,3,5,4.33,0,19,2,9,2
3738,3738,101063,101063,36959390103,3695939,1,3,3,9,3.27,0,19,1,9,2
3739,3739,101064,101064,36959390104,3695939,1,4,3,10,1.95,0,19,1,9,2
3740,3740,101074,101074,36959390302,3695939,3,2,3,5,4.33,0,17,2,9,2
