,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
518,1,38,18.02,0,19,1,2,1
519,1,3,0.47,0,19,1,2,1
520,1,5,0.85,0,19,1,2,1
521,4,129,61.15,1,6,1,4,2
522,1,21,10.0,0,19,1,2,1
523,1,34,10.0,0,19,1,2,1
524,4,12,2.31,0,19,1,4,3
525,4,17,2.31,0,19,1,4,3
526,1,25,17.56,0,19,1,4,1
527,1,15,0.0,0,19,1,4,1
528,1,20,0.0,0,19,1,4,1
529,1,10,1.28,0,19,1,4,1
530,1,20,17.95,0,19,1,4,1
531,2,122,58.06,1,6,1,4,2
532,3,22,16.11,0,19,1,4,3
533,3,30,14.79,0,19,1,4,3
534,3,64,29.16,0,19,1,4,3
535,4,20,12.87,0,19,1,9,2
536,4,17,13.52,0,19,1,9,2
537,4,21,5.82,0,19,1,9,2
538,4,3,2.23,0,19,2,9,2
539,4,3,2.23,0,19,1,9,2
540,4,20,5.88,0,19,1,9,2
541,4,104,59.04,1,6,1,4,3
542,4,2,4.79,0,19,1,4,3
543,4,12,1.67,0,17,2,4,3
544,4,8,3.41,0,17,2,4,3
545,4,4,3.47,0,17,2,4,3
546,3,94,28.4,1,6,1,4,2
547,3,175,0.0,0,19,1,4,3
548,2,26,14.31,0,19,1,4,2
549,2,19,14.84,0,19,1,4,2
550,2,6,2.77,0,19,1,4,2
551,2,42,27.8,0,19,1,4,2
552,2,56,1.05,0,23,1,4,2
553,2,52,28.34,0,19,1,4,2
554,2,15,4.22,0,19,1,9,2
555,2,80,5.3,0,19,1,9,2
556,2,30,5.43,0,19,1,2,2
557,2,30,5.43,0,19,1,2,2
558,2,45,25.21,0,19,1,4,2
559,2,40,25.54,0,19,1,4,2
560,2,44,28.4,0,19,1,4,2
561,2,34,28.35,0,19,1,4,2
562,3,230,0.0,1,6,1,4,3
563,3,150,38.82,0,19,1,4,3
564,3,90,24.85,1,6,1,4,3
565,2,108,53.67,1,6,2,4,2
566,2,100,53.05,1,6,2,4,2
567,1,45,13.15,1,19,1,2,1
568,4,85,0.0,1,6,1,4,3
569,2,19,2.33,0,19,1,1,1
570,2,5,1.5,0,19,1,1,1
571,2,20,1.5,0,19,1,1,1
572,2,15,0.55,0,19,1,1,1
573,2,10,1.5,0,19,1,1,1
574,2,25,0.95,0,19,2,1,1
575,2,126,0.0,1,6,1,2,1
576,2,16,1.3,0,19,1,4,2
577,2,21,0.0,0,19,1,2,1
578,2,38,0.0,0,19,1,2,1
579,4,25,7.9,0,19,1,2,2
580,4,40,9.09,0,19,1,2,2
581,4,5,1.75,0,19,1,2,2
582,1,95,37.01,1,6,1,9,1
583,1,20,10.01,0,19,1,9,2
584,1,30,15.21,0,19,2,9,2
585,1,30,14.94,0,19,1,9,2
586,1,20,10.11,0,19,1,9,2
587,3,61,0.5,0,19,1,2,3
588,3,7,2.64,0,19,1,2,3
589,3,8,4.04,0,19,1,2,3
590,3,11,4.04,0,19,1,2,3
591,3,7,2.63,0,19,1,2,3
592,3,20,10.54,0,19,1,2,3
593,3,24,9.16,0,19,1,2,3
594,3,28,5.3,0,19,1,2,3
595,3,30,12.99,0,19,1,4,3
596,3,30,11.93,0,19,1,4,3
597,2,8,1.2,0,19,1,2,1
598,2,24,4.12,0,19,1,2,1
599,2,16,4.79,0,19,1,2,1
600,2,135,26.44,1,6,1,2,1
601,2,45,9.12,0,19,1,4,3
602,2,65,9.35,0,19,1,4,3
603,2,38,18.92,0,19,1,4,2
604,2,33,18.68,0,19,1,4,2
605,1,3,1.18,0,19,1,3,2
606,1,7,0.58,0,19,1,3,2
607,1,4,0.58,0,19,1,3,2
608,1,11,1.18,0,19,1,3,2
609,5,60,35.24,0,19,1,4,3
610,5,60,35.99,0,19,1,4,3
611,5,60,28.6,0,17,2,4,3
612,5,70,27.71,0,17,2,4,3
613,5,32,21.35,0,19,1,4,3
614,5,39,21.31,0,19,1,4,3
615,5,7,1.7,0,19,2,4,3
616,5,12,4.0,0,19,1,4,3
617,5,13,3.2,0,19,1,4,3
618,6,74,40.88,1,6,1,3,3
619,6,10,5.2,0,19,1,3,3
620,6,8,3.49,0,19,1,3,3
621,6,10,1.88,0,19,1,3,3
622,6,13,2.34,0,17,2,3,3
623,6,10,2.34,0,17,2,3,3
624,1,30,14.19,0,19,1,2,1
625,1,25,14.73,0,19,1,2,1
626,1,7,0.58,0,19,1,2,1
627,1,85,66.46,0,19,1,3,2
628,1,20,5.88,0,19,1,3,2
629,1,70,62.67,0,19,1,3,2
630,3,20,0.0,0,19,1,4,3
631,3,25,0.0,0,19,1,4,3
632,2,11,4.68,1,19,1,4,2
633,3,16,15.77,0,19,1,2,2
634,3,91,17.39,0,17,2,2,2
635,3,12,2.49,0,17,2,2,2
636,3,93,18.64,0,17,2,2,2
637,3,52,3.79,0,17,2,2,2
638,3,22,19.11,0,19,1,2,2
639,3,30,10.09,0,19,1,1,1
640,3,30,5.01,0,19,1,1,1
641,3,30,6.96,0,19,1,1,1
642,3,15,0.83,0,19,1,1,1
643,2,11,5.61,0,19,1,2,2
644,2,376,0.94,0,19,1,2,2
645,2,15,5.61,0,19,1,2,2
646,3,26,8.15,0,19,1,4,3
647,3,18,6.29,0,19,1,4,3
648,3,13,3.67,0,19,1,4,3
649,4,45,11.81,1,19,1,3,2
650,1,3,0.38,0,19,1,2,1
651,1,20,7.95,0,19,1,2,1
652,1,4,2.28,0,19,1,2,1
653,1,20,7.35,0,19,1,2,1
654,2,8,2.91,0,19,1,9,3
655,2,5,1.6,0,19,2,9,3
656,2,15,2.91,0,19,2,9,3
657,2,29,5.75,0,19,1,9,3
658,2,30,6.55,0,19,1,9,3
659,4,10,2.42,0,17,2,2,3
660,4,18,12.55,0,19,1,2,3
661,4,30,12.06,0,19,1,2,3
662,4,90,28.42,1,17,2,2,3
663,4,5,2.42,0,17,2,2,3
664,4,10,2.42,0,19,2,2,3
665,4,90,28.42,1,19,2,2,3
666,4,5,2.42,0,19,2,2,3
667,4,7,2.01,0,19,1,4,2
668,4,10,2.01,0,19,1,4,2
669,4,5,2.01,0,19,2,4,2
670,4,54,25.94,0,19,1,4,2
671,4,60,22.17,0,19,1,4,2
672,4,17,0.0,0,19,1,4,2
673,4,5,0.77,0,19,1,4,2
674,4,18,0.0,0,19,1,4,2
675,3,120,0.0,1,6,1,4,2
676,4,30,5.69,0,19,2,4,2
677,4,5,2.1,1,19,1,4,2
678,4,35,5.82,0,19,2,4,2
679,4,10,2.23,0,19,2,4,2
680,4,25,8.81,0,19,1,4,2
681,4,30,6.47,0,19,1,4,2
682,2,80,0.0,1,6,1,9,2
683,1,20,6.27,0,19,1,2,1
684,1,5,0.8,0,19,1,2,1
685,1,30,6.24,0,19,1,2,1
686,3,69,33.29,0,19,1,4,2
687,3,55,32.99,0,19,1,4,2
688,3,9,1.4,0,19,2,4,2
689,3,2,1.4,0,19,2,4,2
